N,Nodos,Tiempo
500,100,0.001733
1000,100,0.001845
1500,100,0.001745
2000,100,0.001756
2500,100,0.001712
3000,100,0.001812
3500,100,0.00172
4000,100,0.001717
4500,100,0.001741
5000,100,0.001776
5500,100,0.001864
6000,100,0.001743
6500,100,0.001786
7000,100,0.001848
7500,100,0.001921
8000,100,0.001956
8500,100,0.002086
9000,100,0.002084
9500,100,0.002072
10000,100,0.001943
500,300,0.001805
1000,300,0.001817
1500,300,0.001743
2000,300,0.001816
2500,300,0.001964
3000,300,0.001981
3500,300,0.001963
4000,300,0.002065
4500,300,0.002163
5000,300,0.002214
5500,300,0.002234
6000,300,0.00255
6500,300,0.002713
7000,300,0.002733
7500,300,0.002616
8000,300,0.002711
8500,300,0.003223
9000,300,0.003107
9500,300,0.003748
10000,300,0.003293
500,500,0.001856
1000,500,0.001769
1500,500,0.001861
2000,500,0.002045
2500,500,0.002133
3000,500,0.002202
3500,500,0.002266
4000,500,0.002554
4500,500,0.002724
5000,500,0.002902
5500,500,0.00357
6000,500,0.004022
6500,500,0.003852
7000,500,0.004307
7500,500,0.004065
8000,500,0.004702
8500,500,0.004491
9000,500,0.004358
9500,500,0.004777
10000,500,0.005288
500,700,0.001712
1000,700,0.00184
1500,700,0.001902
2000,700,0.00234
2500,700,0.002362
3000,700,0.002466
3500,700,0.002887
4000,700,0.003414
4500,700,0.003963
5000,700,0.004282
5500,700,0.004398
6000,700,0.004807
6500,700,0.005089
7000,700,0.00597
7500,700,0.005104
8000,700,0.00571
8500,700,0.007094
9000,700,0.007145
9500,700,0.007083
10000,700,0.007217
500,900,0.001861
1000,900,0.001928
1500,900,0.002177
2000,900,0.00243
2500,900,0.002779
3000,900,0.003647
3500,900,0.003654
4000,900,0.005716
4500,900,0.004669
5000,900,0.005242
5500,900,0.00553
6000,900,0.007457
6500,900,0.007584
7000,900,0.008424
7500,900,0.007256
8000,900,0.008621
8500,900,0.008636
9000,900,0.008853
9500,900,0.009577
10000,900,0.010364
