N,Nodos,Tiempo
500,100,0.000646
1000,100,0.000664
1500,100,0.000646
2000,100,0.000735
2500,100,0.00066
3000,100,0.000641
3500,100,0.000652
4000,100,0.000643
4500,100,0.000653
5000,100,0.000664
5500,100,0.000678
6000,100,0.000653
6500,100,0.000647
7000,100,0.00068
7500,100,0.000659
8000,100,0.000669
8500,100,0.00068
9000,100,0.000688
9500,100,0.000676
10000,100,0.000674
500,300,0.000657
1000,300,0.000698
1500,300,0.000703
2000,300,0.000682
2500,300,0.000679
3000,300,0.000682
3500,300,0.000665
4000,300,0.000678
4500,300,0.000658
5000,300,0.000638
5500,300,0.000757
6000,300,0.000711
6500,300,0.000653
7000,300,0.000656
7500,300,0.000685
8000,300,0.000638
8500,300,0.000807
9000,300,0.000721
9500,300,0.000806
10000,300,0.000691
500,500,0.000681
1000,500,0.000666
1500,500,0.000683
2000,500,0.000657
2500,500,0.000678
3000,500,0.00067
3500,500,0.000668
4000,500,0.000675
4500,500,0.000652
5000,500,0.000726
5500,500,0.000687
6000,500,0.00077
6500,500,0.00071
7000,500,0.000675
7500,500,0.000686
8000,500,0.00068
8500,500,0.000683
9000,500,0.000692
9500,500,0.000686
10000,500,0.000697
500,700,0.000709
1000,700,0.000667
1500,700,0.000675
2000,700,0.000649
2500,700,0.000678
3000,700,0.000678
3500,700,0.000681
4000,700,0.00068
4500,700,0.000661
5000,700,0.000679
5500,700,0.000678
6000,700,0.000672
6500,700,0.000679
7000,700,0.000691
7500,700,0.000698
8000,700,0.000714
8500,700,0.000714
9000,700,0.000729
9500,700,0.000738
10000,700,0.000736
500,900,0.000737
1000,900,0.000659
1500,900,0.000663
2000,900,0.000723
2500,900,0.000659
3000,900,0.000674
3500,900,0.000665
4000,900,0.000676
4500,900,0.000692
5000,900,0.000696
5500,900,0.000677
6000,900,0.000718
6500,900,0.00072
7000,900,0.000698
7500,900,0.000723
8000,900,0.000703
8500,900,0.000718
9000,900,0.000738
9500,900,0.000738
10000,900,0.00072
